X,Long,Lat,AreaSKM,Perimeter KM,HII,Elevation_m,County,siteid,sitenames,inMod,WDFWDetection,WDFWReproDetection,WDFWsurvey,eBirdDetect,Percent Canopy Cover,River Indicator,Perimeter Complexity,NLCDCode,Forest Type,Developed Type,Other Type,Open water Type
1481,-117.67373,47.55934,0.087,2.739083847,38,735,Spokane,NA,NA,0,0,0,0,0,0,0,9.28636395,11,0,0,0,1
1482,-117.59007,47.42654,0.57310718,14.09640269,20,696,Spokane,NA,NA,0,0,0,0,0,45,0,18.6204586,90,0,0,0,1
1483,-117.48814,47.96529,0.079,2.482065033,42,646,Spokane,NA,NA,0,0,0,0,0,0,0,8.830791089,95,0,0,0,1
1484,-117.44085,48.65983,0.05553952,3.289305434,13,997,Pend Oreille,NA,NA,0,0,0,0,0,0,0,13.95735554,11,0,0,0,1
1485,-117.40194,48.12318,0.084,2.633338247,10,693,Pend Oreille,NA,NA,0,0,0,0,0,0,0,9.085880153,11,0,0,0,1
1486,-118.86782,48.20969,0.218,3.033304277,7,765,Okanogan,NA,NA,0,0,0,0,0,0,0,6.496623977,11,0,0,0,1
1487,-121.44594,47.37793,0.073,2.197675281,30,1141,King,NA,NA,0,0,0,0,0,39,0,8.133961142,90,0,0,0,1
1488,-117.21628,48.41125,0.05109872,2.160922901,11,1070,Pend Oreille,NA,NA,0,0,0,0,0,0,0,9.559479835,11,0,0,0,1
1489,-117.18616,48.27058,0.05239994,1.259324805,11,656,Pend Oreille,NA,NA,0,0,0,0,0,0,0,5.501389102,11,0,0,0,1
1490,-122.46891,47.18284,0.072,1.980461552,60,86,Pierce,NA,NA,0,0,0,0,0,14,0,7.380744429,22,0,1,0,0
1491,-121.35902,48.45094,0.211,3.491416331,10,1284,Skagit,NA,NA,0,0,0,0,0,0,0,7.600819362,11,0,0,0,1
1492,-121.32607,46.25079,0.047,1.789569043,9,1393,Yakima,NA,NA,0,0,0,0,0,54,0,8.254666454,90,0,0,0,1
1493,-121.26756,47.64237,0.042,1.249683839,9,617,King,NA,NA,0,0,0,0,0,57,0,6.09783275,95,0,0,0,1
1494,-121.15804,45.76465,0.049,1.936845375,13,640,Klickitat,NA,NA,0,0,0,0,0,0,0,8.749775517,11,0,0,0,1
1495,-121.12742,47.84262,0.087,2.343901007,7,1404,Chelan,NA,NA,0,0,0,0,0,0,0,7.946568644,11,0,0,0,1
1496,-121.091,47.60936,0.148,2.520602707,10,1395,Chelan,NA,NA,0,0,0,0,0,0,0,6.551994747,11,0,0,0,1
1497,-117.90728,47.26668,0.047,1.569253786,13,615,Lincoln,NA,NA,0,0,0,0,0,0,0,7.238427953,95,0,0,0,1
1498,-117.91138,47.38543,0.153,3.837647944,9,645,Lincoln,NA,NA,0,0,0,0,0,0,0,9.811138708,11,0,0,0,1
1499,-122.16525,47.53271,0.066,1.642261099,38,132,King,NA,NA,0,0,0,0,0,0,0,6.392492657,11,0,0,0,1
1500,-123.19492,47.56072,0.049,1.564348909,9,610,Mason,NA,NA,0,0,0,0,0,0,0,7.06700801,11,0,0,0,1
1501,-123.08226,47.43262,0.043,1.27523529,22,138,Mason,NA,NA,0,0,0,0,0,0,0,6.149730654,11,0,0,0,1
1502,-122.01459,48.53078,0.047,4.668157186,23,93,Skagit,NA,NA,0,0,0,0,0,59,0,21.53260344,90,0,0,0,1
1503,-120.10391,46.27485,0.072,5.161170189,26,201,Yakima,NA,NA,0,0,0,0,0,0,0,19.23454564,90,0,0,0,1
1504,-120.09125,46.24461,0.068,1.56632519,47,198,Yakima,NA,NA,0,0,0,0,0,46,0,6.00658291,90,0,0,0,1
1505,-120.02239,46.2298,0.298,6.650479744,39,199,Yakima,NA,NA,0,0,0,0,0,0,0,12.18273628,90,0,0,0,1
1506,-117.50497,47.54264,0.12304657,3.682106485,39,687,Spokane,NA,NA,0,0,0,0,0,0,0,10.49691276,11,0,0,0,1
1507,-119.94474,47.04708,0.055,2.84204313,11,388,Grant,NA,NA,0,0,0,0,0,0,0,12.11851263,11,0,0,0,1
1508,-119.94672,47.13794,0.167,3.68158097,12,286,Grant,NA,NA,0,0,0,0,0,0,0,9.008990333,11,0,0,0,1
1509,-123.9281,46.32046,0.154,6.522134331,18,42,Pacific,NA,NA,0,0,0,0,0,94,0,16.61993722,42,1,0,0,0
1510,-122.77857,48.13771,0.138,2.299682803,21,6,Jefferson,NA,NA,0,0,0,0,0,0,0,6.190538009,11,0,0,0,1
1511,-121.6487,47.55256,0.177,2.941191228,10,1243,King,NA,NA,0,0,0,0,0,0,0,6.990956967,11,0,0,0,1
1512,-121.59769,47.48167,0.051,1.333949462,10,1071,King,NA,NA,0,0,0,0,0,0,0,5.906827501,11,0,0,0,1
1513,-122.4046,46.49858,0.876,7.84564693,22,275,Lewis,NA,NA,0,0,0,0,0,0,0,8.382560701,11,0,0,0,1
1514,-117.8672,47.30994,0.041,1.76810442,13,625,Lincoln,NA,NA,0,0,0,0,0,0,0,8.732045327,71,0,0,1,0
1515,-121.54027,47.69927,0.04322655,2.008132871,5,1064,King,NA,NA,0,0,0,0,0,59,0,9.658666207,52,0,0,1,0
1516,-121.43285,47.6169,0.041,1.248230996,5,1261,King,NA,NA,0,0,0,0,0,0,0,6.164573489,11,0,0,0,1
1517,-119.47434,48.17475,0.042,1.393396802,10,776,Okanogan,NA,NA,0,0,0,0,0,0,0,6.799080204,11,0,0,0,1
1518,-117.72516,47.31054,0.053,2.766163555,16,653,Spokane,NA,NA,0,0,0,0,0,0,0,12.01544667,52,0,0,1,0
1519,-119.91462,48.04844,0.40667718,9.417036549,42,381,Okanogan,NA,NA,0,0,0,0,0,0,0,14.76690069,21,0,1,0,0
1520,-119.44326,47.72434,0.05,1.761521634,5,663,Douglas,NA,NA,0,0,0,0,0,0,0,7.877764236,52,0,0,1,0
1521,-121.22556,46.0146,0.105,3.024589697,6,560,Klickitat,NA,NA,0,0,0,0,0,0,0,9.334086451,11,0,0,0,1
1522,-119.36606,47.09799,0.08,3.070491923,34,319,Grant,NA,NA,0,0,0,0,0,0,0,10.8558283,11,0,0,0,1
1523,-121.85928,47.88948,0.054,2.459829731,31,135,Snohomish,NA,NA,0,0,0,0,0,61,0,10.58542176,43,1,0,0,0
1524,-122.29992,48.64639,0.055,1.487973662,18,190,Whatcom,NA,NA,0,0,0,0,0,37,0,6.344741014,52,0,0,1,0
1525,-117.79741,47.282,0.326,12.3149881,15,617,Spokane,NA,NA,0,0,0,0,0,25,0,21.56876092,90,0,0,0,1
1526,-117.62878,47.3504,0.88,15.15383885,16,699,Spokane,NA,NA,0,0,0,0,0,0,0,16.15404649,11,0,0,0,1
1527,-122.66228,48.16706,1.13885265,8.72150531,18,2,Island,NA,NA,0,0,0,0,0,0,0,8.172551786,11,0,0,0,1
1528,-122.93186,46.91903,0.27,3.057928806,43,58,Thurston,NA,NA,0,0,0,0,0,0,0,5.884986731,11,0,0,0,1
1529,-119.22065,48.19873,0.08536644,4.049203346,10,561,Okanogan,NA,NA,0,0,0,0,0,19,0,13.85881195,52,0,0,1,0
1530,-124.04775,47.13472,0.056,3.147573066,18,27,Grays Harbor,NA,NA,0,0,0,0,0,0,0,13.30092384,42,1,0,0,0
1531,-120.69403,45.72617,0.12064277,3.533509336,38,140,Klickitat,NA,NA,0,0,0,0,0,0,0,10.17315339,11,0,0,0,1
1532,-119.18557,47.2516,0.122,3.045243656,6,388,Grant,NA,NA,0,0,0,0,0,0,0,8.718507225,52,0,0,1,0
1533,-123.11473,48.1472,0.063,3.846895682,25,0,Clallam,NA,NA,0,0,0,0,0,63,0,15.32639925,95,0,0,0,1
1534,-119.16332,46.97348,0.811,12.82004505,7,331,Grant,NA,NA,0,0,0,0,0,0,0,14.23570974,11,0,0,0,1
1535,-119.11249,46.69384,0.064,3.156575918,10,281,Franklin,NA,NA,0,0,0,0,0,0,0,12.47746189,52,0,0,1,0
1536,-119.10929,48.59619,0.041,1.289083361,10,798,Okanogan,NA,NA,0,0,0,0,0,7,0,6.366328939,71,0,0,1,0
1537,-119.03414,48.8124,0.042,1.389617757,6,1100,Okanogan,NA,NA,0,0,0,0,0,0,0,6.780640353,11,0,0,0,1
1538,-118.96564,46.15256,0.14367964,4.438040897,32,103,Walla Walla,NA,NA,0,0,0,0,0,0,0,11.70829576,11,0,0,0,1
1539,-121.99691,47.59073,0.288,6.0146796,30,146,King,NA,NA,0,0,0,0,0,0,0,11.20769371,11,0,0,0,1
1540,-122.00585,47.94863,0.18387311,3.070584339,31,175,Snohomish,NA,NA,0,0,0,0,0,0,0,7.160806192,11,0,0,0,1
1541,-119.49416,48.16567,0.25,3.217759892,14,743,Okanogan,NA,NA,0,0,0,0,0,0,0,6.435519785,11,0,0,0,1
1542,-121.99679,47.69761,0.05,4.023714117,35,12,King,NA,NA,0,0,0,0,0,29,0,17.99459657,95,0,0,0,1
1543,-121.97716,47.72029,0.07189581,2.034389745,47,57,King,NA,NA,0,0,0,0,0,0,0,7.587214592,11,0,0,0,1
1544,-121.95139,48.18465,0.097,4.134464925,14,289,Snohomish,NA,NA,0,0,0,0,0,0,0,13.27496684,42,1,0,0,0
1545,-121.92221,45.65947,0.041,2.063890923,40,97,Skamania,NA,NA,0,0,0,0,0,0,0,10.19283074,11,0,0,0,1
1546,-118.38075,47.67851,0.043,1.905087139,18,704,Lincoln,NA,NA,0,0,0,0,0,0,0,9.187145986,11,0,0,0,1
1547,-118.34386,47.70924,0.074,4.149518104,10,717,Lincoln,NA,NA,0,0,0,0,0,34,0,15.25393192,42,1,0,0,0
1548,-122.72783,47.3866,0.084,2.309576805,18,87,Pierce,NA,NA,0,0,0,0,0,0,0,7.968797049,11,0,0,0,1
1549,-118.0066,47.86066,0.051,1.527867463,11,709,Stevens,NA,NA,0,0,0,0,0,0,0,6.765510841,11,0,0,0,1
1550,-121.59056,48.66619,0.066,1.548030047,5,1414,Whatcom,NA,NA,0,0,0,0,0,0,0,6.025698788,11,0,0,0,1
1551,-121.5839,48.80476,0.057,1.481926813,5,1229,Whatcom,NA,NA,0,0,0,0,0,0,0,6.207108373,11,0,0,0,1
1552,-117.85406,47.31222,0.048,1.489982556,13,614,Lincoln,NA,NA,0,0,0,0,0,0,0,6.8008088,11,0,0,0,1
1553,-117.84874,47.25019,0.04719977,2.964657219,15,625,Whitman,NA,NA,0,0,0,0,0,0,0,13.64597418,11,0,0,0,1
1554,-117.80232,47.52146,0.05,2.855189242,14,723,Spokane,NA,NA,0,0,0,0,0,36,0,12.76879447,90,0,0,0,1
1555,-117.74927,47.75985,0.04073497,1.300717331,22,756,Spokane,NA,NA,0,0,0,0,0,0,0,6.44464837,11,0,0,0,1
1556,-122.28715,47.32594,0.082,2.781139497,52,127,King,NA,NA,0,0,0,0,0,0,0,9.712160407,11,0,0,0,1
1557,-121.40793,47.9732,0.141,2.180264116,7,1378,Snohomish,NA,NA,0,0,0,0,0,0,0,5.806301062,11,0,0,0,1
1558,-121.39626,47.81786,0.153,2.615491333,14,1243,Snohomish,NA,NA,0,0,0,0,0,0,0,6.686634269,11,0,0,0,1
1559,-121.32795,48.68416,0.223,2.864833197,9,1473,Whatcom,NA,NA,0,0,0,0,0,0,0,6.066621628,11,0,0,0,1
1560,-117.66293,48.42705,0.05868107,1.765457005,11,725,Stevens,NA,NA,0,0,0,0,0,0,0,7.287996131,71,0,0,1,0
